order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_purchase_timestamp_year,order_purchase_timestamp_month,order_purchase_timestamp_day,order_purchase_timestamp_dayofweek,order_purchase_timestamp_quarter,order_purchase_timestamp_is_weekend,delivery_time_days,estimated_delivery_time_days,delivery_time_difference,delivered_on_time,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
order_1,cust_19,delivered,2022-01-01 00:00:00.000000000,2022-01-01 00:00:00.000000000,2022-01-02 00:00:00.000000000,2022-01-05 00:00:00.000000000,2022-01-10 00:00:00.000000000,2022,1,1,5,1,1,4.0,9.0,-5.0,True,3,prod_113,seller_44,2022-03-10 04:10:26.086956522,870.84,56.83,books,14,664,8,3745,87,44,46,uniq_19,33661,São Paulo,RJ
order_3,cust_52,delivered,2022-01-04 15:47:56.381909547,2022-01-04 15:47:56.381909547,2022-01-05 15:47:56.381909547,2022-01-08 16:02:24.723618090,2022-01-13 16:02:24.723618090,2022,1,4,1,1,0,4.010050251256285,9.010050251256285,-5.0,True,3,prod_20,seller_15,2022-01-18 01:02:36.521739130,867.92,93.45,toys,95,600,5,169,27,8,47,uniq_52,21219,São Paulo,RJ
order_3,cust_52,delivered,2022-01-04 15:47:56.381909547,2022-01-04 15:47:56.381909547,2022-01-05 15:47:56.381909547,2022-01-08 16:02:24.723618090,2022-01-13 16:02:24.723618090,2022,1,4,1,1,0,4.010050251256285,9.010050251256285,-5.0,True,4,prod_5,seller_3,2022-04-24 05:13:02.608695652,151.13,29.74,books,79,463,3,9663,78,22,46,uniq_52,21219,São Paulo,RJ
order_4,cust_31,canceled,2022-01-06 11:41:54.572864321,2022-01-06 11:41:54.572864321,2022-01-07 11:41:54.572864321,2022-01-10 12:03:37.085427135,2022-01-15 12:03:37.085427135,2022,1,6,3,1,0,4.015075376884421,9.015075376884422,-5.000000000000001,True,1,prod_122,seller_22,2022-08-25 04:10:26.086956520,517.07,17.6,electronics,64,212,6,6341,25,12,34,uniq_31,28132,Porto Alegre,RJ
order_4,cust_31,canceled,2022-01-06 11:41:54.572864321,2022-01-06 11:41:54.572864321,2022-01-07 11:41:54.572864321,2022-01-10 12:03:37.085427135,2022-01-15 12:03:37.085427135,2022,1,6,3,1,0,4.015075376884421,9.015075376884422,-5.000000000000001,True,1,prod_112,seller_50,2022-12-16 09:23:28.695652172,584.95,30.51,furniture,12,221,2,2255,60,49,37,uniq_31,28132,Porto Alegre,RJ
order_5,cust_62,canceled,2022-01-08 07:35:52.763819095,2022-01-08 07:35:52.763819095,2022-01-09 07:35:52.763819095,2022-01-12 08:04:49.447236180,2022-01-17 08:04:49.447236180,2022,1,8,5,1,1,4.020100502512558,9.020100502512557,-4.999999999999999,True,1,prod_59,seller_17,2022-05-22 05:13:02.608695652,793.06,42.96,books,50,487,1,6774,61,27,18,uniq_62,13307,Belo Horizonte,RS
order_5,cust_62,canceled,2022-01-08 07:35:52.763819095,2022-01-08 07:35:52.763819095,2022-01-09 07:35:52.763819095,2022-01-12 08:04:49.447236180,2022-01-17 08:04:49.447236180,2022,1,8,5,1,1,4.020100502512558,9.020100502512557,-4.999999999999999,True,1,prod_35,seller_29,2022-12-22 11:28:41.739130436,326.18,58.25,clothing,58,138,5,3223,37,22,19,uniq_62,13307,Belo Horizonte,RS
order_6,cust_13,delivered,2022-01-10 03:29:50.954773869,2022-01-10 03:29:50.954773869,2022-01-11 03:29:50.954773869,2022-01-14 04:06:01.809045226,2022-01-19 04:06:01.809045226,2022,1,10,0,1,0,4.025125628140706,9.025125628140705,-4.999999999999999,True,1,prod_119,seller_19,2022-12-15 04:10:26.086956520,746.14,67.75,books,90,736,5,392,73,16,48,uniq_13,50599,Porto Alegre,RJ
order_7,cust_45,delivered,2022-01-11 23:23:49.145728643,2022-01-11 23:23:49.145728643,2022-01-12 23:23:49.145728643,2022-01-16 00:07:14.170854271,2022-01-21 00:07:14.170854271,2022,1,11,1,1,0,4.030150753768843,9.030150753768842,-4.999999999999999,True,3,prod_109,seller_47,2022-12-26 03:07:49.565217392,798.88,82.53,books,81,535,3,9653,46,25,29,uniq_45,31582,Porto Alegre,DF
order_8,cust_64,delivered,2022-01-13 19:17:47.336683417,2022-01-13 19:17:47.336683417,2022-01-14 19:17:47.336683417,2022-01-17 20:08:26.532663316,2022-01-22 20:08:26.532663316,2022,1,13,3,1,0,4.03517587939698,9.035175879396979,-4.999999999999999,True,1,prod_80,seller_15,2022-03-17 11:28:41.739130435,449.19,91.73,clothing,29,142,4,3777,28,25,17,uniq_64,52803,Porto Alegre,RJ
order_8,cust_64,delivered,2022-01-13 19:17:47.336683417,2022-01-13 19:17:47.336683417,2022-01-14 19:17:47.336683417,2022-01-17 20:08:26.532663316,2022-01-22 20:08:26.532663316,2022,1,13,3,1,0,4.03517587939698,9.035175879396979,-4.999999999999999,True,4,prod_147,seller_3,2022-11-12 07:18:15.652173912,721.96,90.09,books,64,778,7,507,96,23,13,uniq_64,52803,Porto Alegre,RJ
order_10,cust_63,delivered,2022-01-17 11:05:43.718592965,2022-01-17 11:05:43.718592965,2022-01-18 11:05:43.718592965,2022-01-21 12:10:51.256281407,2022-01-26 12:10:51.256281407,2022,1,17,0,1,0,4.045226130653264,9.045226130653264,-5.0,True,3,prod_58,seller_33,2022-04-26 15:39:07.826086956,826.48,37.09,toys,89,826,1,6895,32,25,35,uniq_63,48988,Belo Horizonte,DF
order_11,cust_23,delivered,2022-01-19 06:59:41.909547738,2022-01-19 06:59:41.909547738,2022-01-20 06:59:41.909547738,2022-01-23 08:12:03.618090452,2022-01-28 08:12:03.618090452,2022,1,19,2,1,0,4.050251256281412,9.050251256281411,-4.999999999999999,True,1,prod_102,seller_21,2022-11-23 06:15:39.130434784,563.91,61.81,books,63,703,2,8812,21,20,31,uniq_23,44532,Brasília,RS
order_11,cust_23,delivered,2022-01-19 06:59:41.909547738,2022-01-19 06:59:41.909547738,2022-01-20 06:59:41.909547738,2022-01-23 08:12:03.618090452,2022-01-28 08:12:03.618090452,2022,1,19,2,1,0,4.050251256281412,9.050251256281411,-4.999999999999999,True,2,prod_4,seller_8,2022-12-28 13:33:54.782608696,738.76,73.4,furniture,65,716,9,1456,98,47,48,uniq_23,44532,Brasília,RS
order_12,cust_86,delivered,2022-01-21 02:53:40.100502512,2022-01-21 02:53:40.100502512,2022-01-22 02:53:40.100502512,2022-01-25 04:13:15.979899497,2022-01-30 04:13:15.979899497,2022,1,21,4,1,0,4.0552763819095485,9.055276381909549,-5.0,True,2,prod_112,seller_25,2022-04-19 08:20:52.173913044,675.27,91.5,furniture,12,221,2,2255,60,49,37,uniq_86,48054,São Paulo,DF
order_12,cust_86,delivered,2022-01-21 02:53:40.100502512,2022-01-21 02:53:40.100502512,2022-01-22 02:53:40.100502512,2022-01-25 04:13:15.979899497,2022-01-30 04:13:15.979899497,2022,1,21,4,1,0,4.0552763819095485,9.055276381909549,-5.0,True,2,prod_60,seller_21,2022-05-24 15:39:07.826086956,684.61,81.56,clothing,38,423,1,9203,52,23,31,uniq_86,48054,São Paulo,DF
order_12,cust_86,delivered,2022-01-21 02:53:40.100502512,2022-01-21 02:53:40.100502512,2022-01-22 02:53:40.100502512,2022-01-25 04:13:15.979899497,2022-01-30 04:13:15.979899497,2022,1,21,4,1,0,4.0552763819095485,9.055276381909549,-5.0,True,2,prod_114,seller_9,2022-07-18 10:26:05.217391304,620.12,30.37,electronics,64,547,2,700,36,38,20,uniq_86,48054,São Paulo,DF
order_12,cust_86,delivered,2022-01-21 02:53:40.100502512,2022-01-21 02:53:40.100502512,2022-01-22 02:53:40.100502512,2022-01-25 04:13:15.979899497,2022-01-30 04:13:15.979899497,2022,1,21,4,1,0,4.0552763819095485,9.055276381909549,-5.0,True,1,prod_116,seller_36,2022-07-23 07:18:15.652173912,86.64,9.03,furniture,20,334,9,8909,69,7,21,uniq_86,48054,São Paulo,DF
order_13,cust_12,processing,2022-01-22 22:47:38.291457286,2022-01-22 22:47:38.291457286,2022-01-23 22:47:38.291457286,2022-01-27 00:14:28.341708542,2022-02-01 00:14:28.341708542,2022,1,22,5,1,1,4.060301507537685,9.060301507537686,-5.000000000000001,True,3,prod_122,seller_1,2022-01-31 10:26:05.217391304,283.61,5.54,electronics,64,212,6,6341,25,12,34,uniq_12,69543,Porto Alegre,MG
order_13,cust_12,processing,2022-01-22 22:47:38.291457286,2022-01-22 22:47:38.291457286,2022-01-23 22:47:38.291457286,2022-01-27 00:14:28.341708542,2022-02-01 00:14:28.341708542,2022,1,22,5,1,1,4.060301507537685,9.060301507537686,-5.000000000000001,True,4,prod_77,seller_45,2022-03-27 05:13:02.608695652,189.53,27.87,clothing,95,994,9,2143,35,24,17,uniq_12,69543,Porto Alegre,MG
order_14,cust_81,delivered,2022-01-24 18:41:36.482412060,2022-01-24 18:41:36.482412060,2022-01-25 18:41:36.482412060,2022-01-28 20:15:40.703517587,2022-02-02 20:15:40.703517587,2022,1,24,0,1,0,4.065326633165822,9.065326633165823,-5.000000000000001,True,3,prod_149,seller_48,2022-05-16 03:07:49.565217392,917.66,88.99,books,87,768,2,6810,10,28,14,uniq_81,73236,São Paulo,RJ
order_14,cust_81,delivered,2022-01-24 18:41:36.482412060,2022-01-24 18:41:36.482412060,2022-01-25 18:41:36.482412060,2022-01-28 20:15:40.703517587,2022-02-02 20:15:40.703517587,2022,1,24,0,1,0,4.065326633165822,9.065326633165823,-5.000000000000001,True,3,prod_80,seller_44,2022-10-10 10:26:05.217391304,315.83,23.01,clothing,29,142,4,3777,28,25,17,uniq_81,73236,São Paulo,RJ
order_15,cust_80,processing,2022-01-26 14:35:34.673366834,2022-01-26 14:35:34.673366834,2022-01-27 14:35:34.673366834,2022-01-30 16:16:53.065326633,2022-02-04 16:16:53.065326633,2022,1,26,2,1,0,4.0703517587939695,9.07035175879397,-5.000000000000001,True,4,prod_71,seller_32,2022-08-19 02:05:13.043478260,46.9,35.9,books,23,862,1,3964,70,26,28,uniq_80,96469,Belo Horizonte,MG
order_15,cust_80,processing,2022-01-26 14:35:34.673366834,2022-01-26 14:35:34.673366834,2022-01-27 14:35:34.673366834,2022-01-30 16:16:53.065326633,2022-02-04 16:16:53.065326633,2022,1,26,2,1,0,4.0703517587939695,9.07035175879397,-5.000000000000001,True,1,prod_92,seller_6,2022-09-05 03:07:49.565217392,889.59,21.55,books,89,248,4,5808,95,49,14,uniq_80,96469,Belo Horizonte,MG
order_17,cust_14,shipped,2022-01-30 06:23:31.055276382,2022-01-30 06:23:31.055276382,2022-01-31 06:23:31.055276382,2022-02-03 08:19:17.788944723,2022-02-08 08:19:17.788944723,2022,1,30,6,1,1,4.080402010050244,9.080402010050243,-4.999999999999999,True,1,prod_145,seller_38,2022-10-05 13:33:54.782608696,499.35,16.23,furniture,74,548,2,8597,20,29,13,uniq_14,20321,Rio de Janeiro,SP
order_18,cust_97,delivered,2022-02-01 02:17:29.246231156,2022-02-01 02:17:29.246231156,2022-02-02 02:17:29.246231156,2022-02-05 04:20:30.150753768,2022-02-10 04:20:30.150753768,2022,2,1,1,1,0,4.08542713567838,9.08542713567838,-5.0,True,1,prod_126,seller_24,2022-05-14 21:54:46.956521738,54.19,57.85,clothing,15,576,7,9473,93,24,42,uniq_97,79612,Porto Alegre,SP
order_19,cust_96,delivered,2022-02-02 22:11:27.437185930,2022-02-02 22:11:27.437185930,2022-02-03 22:11:27.437185930,2022-02-07 00:21:42.512562814,2022-02-12 00:21:42.512562814,2022,2,2,2,1,0,4.090452261306528,9.090452261306528,-4.999999999999999,True,1,prod_46,seller_24,2022-03-06 12:31:18.260869565,295.89,54.43,clothing,63,997,9,1219,93,39,20,uniq_96,76947,São Paulo,RS
order_19,cust_96,delivered,2022-02-02 22:11:27.437185930,2022-02-02 22:11:27.437185930,2022-02-03 22:11:27.437185930,2022-02-07 00:21:42.512562814,2022-02-12 00:21:42.512562814,2022,2,2,2,1,0,4.090452261306528,9.090452261306528,-4.999999999999999,True,4,prod_131,seller_41,2022-03-13 19:49:33.913043478,317.19,72.86,furniture,55,978,6,4427,90,17,29,uniq_96,76947,São Paulo,RS
order_20,cust_9,shipped,2022-02-04 18:05:25.628140703,2022-02-04 18:05:25.628140703,2022-02-05 18:05:25.628140703,2022-02-08 20:22:54.874371859,2022-02-13 20:22:54.874371859,2022,2,4,4,1,0,4.095477386934676,9.095477386934677,-5.000000000000001,True,2,prod_45,seller_1,2022-02-07 17:44:20.869565217,12.3,58.58,books,56,431,3,2515,35,19,42,uniq_9,82318,Brasília,MG
order_20,cust_9,shipped,2022-02-04 18:05:25.628140703,2022-02-04 18:05:25.628140703,2022-02-05 18:05:25.628140703,2022-02-08 20:22:54.874371859,2022-02-13 20:22:54.874371859,2022,2,4,4,1,0,4.095477386934676,9.095477386934677,-5.000000000000001,True,2,prod_46,seller_24,2022-03-15 01:02:36.521739130,81.21,48.63,clothing,63,997,9,1219,93,39,20,uniq_9,82318,Brasília,MG
order_21,cust_54,delivered,2022-02-06 13:59:23.819095477,2022-02-06 13:59:23.819095477,2022-02-07 13:59:23.819095477,2022-02-10 16:24:07.236180904,2022-02-15 16:24:07.236180904,2022,2,6,6,1,1,4.100502512562812,9.100502512562812,-5.0,True,3,prod_109,seller_15,2022-05-29 12:31:18.260869564,571.13,14.81,books,81,535,3,9653,46,25,29,uniq_54,46115,Porto Alegre,RS
order_23,cust_96,delivered,2022-02-10 05:47:20.201005025,2022-02-10 05:47:20.201005025,2022-02-11 05:47:20.201005025,2022-02-14 08:26:31.959798995,2022-02-19 08:26:31.959798995,2022,2,10,3,1,0,4.110552763819097,9.110552763819097,-5.0,True,4,prod_72,seller_10,2022-04-23 00:00:00.000000000,102.66,19.67,books,61,366,8,4681,15,41,33,uniq_96,76947,São Paulo,RS
order_25,cust_22,delivered,2022-02-13 21:35:16.582914573,2022-02-13 21:35:16.582914573,2022-02-14 21:35:16.582914573,2022-02-18 00:28:56.683417085,2022-02-23 00:28:56.683417085,2022,2,13,6,1,1,4.12060301507537,9.12060301507537,-4.999999999999999,True,4,prod_94,seller_15,2022-10-27 11:28:41.739130436,447.45,52.56,clothing,62,294,4,9180,58,9,38,uniq_22,68860,São Paulo,RJ
order_26,cust_30,delivered,2022-02-15 17:29:14.773869347,2022-02-15 17:29:14.773869347,2022-02-16 17:29:14.773869347,2022-02-19 20:30:09.045226130,2022-02-24 20:30:09.045226130,2022,2,15,1,1,0,4.1256281407035065,9.125628140703506,-5.0,True,4,prod_75,seller_29,2022-03-01 15:39:07.826086956,244.73,77.57,clothing,45,288,6,158,73,42,44,uniq_30,70773,São Paulo,DF
order_27,cust_83,canceled,2022-02-17 13:23:12.964824121,2022-02-17 13:23:12.964824121,2022-02-18 13:23:12.964824121,2022-02-21 16:31:21.407035175,2022-02-26 16:31:21.407035175,2022,2,17,3,1,0,4.1306532663316435,9.130653266331644,-5.0,True,3,prod_122,seller_23,2022-07-01 09:23:28.695652174,160.94,37.37,electronics,64,212,6,6341,25,12,34,uniq_83,57824,Rio de Janeiro,RJ
order_27,cust_83,canceled,2022-02-17 13:23:12.964824121,2022-02-17 13:23:12.964824121,2022-02-18 13:23:12.964824121,2022-02-21 16:31:21.407035175,2022-02-26 16:31:21.407035175,2022,2,17,3,1,0,4.1306532663316435,9.130653266331644,-5.0,True,4,prod_5,seller_3,2022-10-31 03:07:49.565217392,432.74,73.99,books,79,463,3,9663,78,22,46,uniq_83,57824,Rio de Janeiro,RJ
order_28,cust_57,processing,2022-02-19 09:17:11.155778894,2022-02-19 09:17:11.155778894,2022-02-20 09:17:11.155778894,2022-02-23 12:32:33.768844221,2022-02-28 12:32:33.768844221,2022,2,19,5,1,1,4.135678391959803,9.135678391959804,-5.000000000000001,True,2,prod_89,seller_36,2022-02-11 09:23:28.695652174,391.84,79.4,toys,66,528,5,7513,67,37,32,uniq_57,98151,Porto Alegre,SP
