review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
review_1,order_1,2,,,2022-01-01 00:00:00.000000000,2022-01-02 00:00:00.000000000
review_2,order_2,5,,Message 2,2022-01-02 19:53:58.190954773,2022-01-03 19:53:58.190954773
review_3,order_3,1,Title 3,,2022-01-04 15:47:56.381909547,2022-01-05 15:47:56.381909547
review_4,order_4,2,,Message 4,2022-01-06 11:41:54.572864321,2022-01-07 11:41:54.572864321
review_5,order_5,3,,,2022-01-08 07:35:52.763819095,2022-01-09 07:35:52.763819095
review_6,order_6,2,Title 6,Message 6,2022-01-10 03:29:50.954773869,2022-01-11 03:29:50.954773869
review_7,order_7,2,,,2022-01-11 23:23:49.145728643,2022-01-12 23:23:49.145728643
review_8,order_8,5,,Message 8,2022-01-13 19:17:47.336683417,2022-01-14 19:17:47.336683417
review_9,order_9,4,Title 9,,2022-01-15 15:11:45.527638191,2022-01-16 15:11:45.527638191
review_10,order_10,2,,Message 10,2022-01-17 11:05:43.718592965,2022-01-18 11:05:43.718592965
review_11,order_11,5,,,2022-01-19 06:59:41.909547738,2022-01-20 06:59:41.909547738
review_12,order_12,5,Title 12,Message 12,2022-01-21 02:53:40.100502512,2022-01-22 02:53:40.100502512
review_13,order_13,3,,,2022-01-22 22:47:38.291457286,2022-01-23 22:47:38.291457286
review_14,order_14,1,,Message 14,2022-01-24 18:41:36.482412060,2022-01-25 18:41:36.482412060
review_15,order_15,5,Title 15,,2022-01-26 14:35:34.673366834,2022-01-27 14:35:34.673366834
review_16,order_16,5,,Message 16,2022-01-28 10:29:32.864321608,2022-01-29 10:29:32.864321608
review_17,order_17,3,,,2022-01-30 06:23:31.055276382,2022-01-31 06:23:31.055276382
review_18,order_18,2,Title 18,Message 18,2022-02-01 02:17:29.246231156,2022-02-02 02:17:29.246231156
review_19,order_19,3,,,2022-02-02 22:11:27.437185930,2022-02-03 22:11:27.437185930
review_20,order_20,4,,Message 20,2022-02-04 18:05:25.628140703,2022-02-05 18:05:25.628140703
review_21,order_21,2,Title 21,,2022-02-06 13:59:23.819095477,2022-02-07 13:59:23.819095477
review_22,order_22,5,,Message 22,2022-02-08 09:53:22.010050251,2022-02-09 09:53:22.010050251
review_23,order_23,1,,,2022-02-10 05:47:20.201005025,2022-02-11 05:47:20.201005025
review_24,order_24,1,Title 24,Message 24,2022-02-12 01:41:18.391959799,2022-02-13 01:41:18.391959799
review_25,order_25,3,,,2022-02-13 21:35:16.582914573,2022-02-14 21:35:16.582914573
